const,nconst,director
tt0361217,nm1879589,Nelson McCormick
tt0361217,nm0413005,Sean Jablonski
tt0361217,nm0505934,Richard Levine
tt0361217,nm1004299,Brad Falchuk
tt0361217,nm0185693,Dirk Craft
tt0361217,nm0044803,Jamie Babbit
tt0361217,nm0791709,Greer Shephard
tt0361217,nm0338115,Lynnie Greene
tt0361217,nm0006853,Tim Hunter
tt0361217,nm0106368,Scott Brazil
tt0361217,nm0687964,Jeremy Podeswa
tt0361217,nm0157656,Hank Chilton
tt0361217,nm0004883,Tate Donovan
tt0361217,nm0872823,Lawrence Trilling
tt0361217,nm0272704,Guy Ferland
tt0361217,nm0638354,David Nutter
tt0361217,nm0944981,Greg Yaitanes
tt0361217,nm0571202,Patrick McKee
tt0361217,nm1061992,Jesse Bochco
tt0361217,nm0000655,Eric Stoltz
tt0361217,nm0884218,Diana Valentine
tt0361467,nm0837406,Sara Sugarman
tt0361620,nm0001845,Forest Whitaker
tt0361696,nm0573732,Sean McNamara
tt0361841,nm0403541,Nick Hurran
tt0362120,nm0001878,David Zucker
tt0362165,nm0349183,Lawrence Guterman
tt0362478,nm0446819,Richard Kelly
tt0362511,nm0384862,David Hillenbrand
tt0362511,nm0384863,Scott Hillenbrand
tt0363504,nm0179959,Al Corley
tt0363988,nm0462895,David Koepp
tt0364045,nm0142286,D.J. Caruso
tt0364517,nm1077168,Yann Samuell
tt0364569,nm0661791,Park Chan-wook
tt0364725,nm1098493,Rawson Marshall Thurber
tt0365265,nm0367538,Grant Harvey
tt0365376,nm0453518,Kim Jee-woon
tt0365480,nm0129085,Tom Cairns
tt0365545,nm2223783,Haifaa Al-Mansour
tt0366551,nm0500444,Danny Leiner
tt0366627,nm0562266,John Maybury
tt0367478,nm0553662,Philippe Martinez
tt0367594,nm0000318,Tim Burton
tt0368447,nm0796117,M. Night Shyamalan
tt0368563,nm0075150,Joel Bergvall
tt0368563,nm0762217,Simon Sandquist
tt0368933,nm0005190,Garry Marshall
tt0368975,nm0638271,Joe Nussbaum
tt0369339,nm0000520,Michael Mann
tt0369436,nm1164861,Seth Gordon
tt0369441,nm0661751,Dean Parisot
tt0369735,nm0525659,Robert Luketic
tt0370904,nm0934863,Harry Winer
tt0371190,nm0075669,Robert Berlinger
tt0371246,nm0000985,James L. Brooks
tt0372237,nm0838198,Kevin Rodney Sullivan
tt0372532,nm0453270,Clare Kilner
tt0373469,nm0000948,Shane Black
tt0373968,nm0056492,Douglas Barr
tt0375063,nm0668247,Alexander Payne
tt0375173,nm0796124,Charles Shyer
tt0375210,nm0768249,Geoffrey Sax
tt0375679,nm0353673,Paul Haggis
tt0376136,nm0732430,Bruce Robinson
tt0376541,nm0001566,Mike Nichols
tt0377084,nm0001097,Charles Dance
tt0377092,nm0914132,Mark Waters
tt0377109,nm0620378,Hideo Nakata
tt0378194,nm0000233,Quentin Tarantino
tt0380366,nm0516360,Ken Loach
tt0380510,nm0001392,Peter Jackson
tt0380623,nm0743093,Mark Rosman
tt0381681,nm0000500,Richard Linklater
tt0381707,nm0005540,Keenen Ivory Wayans
tt0381966,nm1247462,Christopher Smith
tt0382286,nm0564260,Don McBrearty
tt0383216,nm0506613,Shawn Levy
tt0383534,nm0001590,Chazz Palminteri
tt0384537,nm0304521,Christophe Gans
tt0386588,nm0855035,Andy Tennant
tt0387131,nm0576987,Fernando Meirelles
tt0387514,nm0950226,Ben Younger
tt0387564,nm1490123,James Wan
tt0387575,nm0238841,Don Mancini
tt0387877,nm0000361,Brian De Palma
tt0388213,nm0000102,Kevin Bacon
tt0388500,nm0937306,Bille Woodruff
tt0388795,nm0000487,Ang Lee
tt0389860,nm0178997,Frank Coraci
tt0390221,nm0551358,Joshua Marston
tt0391198,nm1234345,Takashi Shimizu
tt0391304,nm0170719,Nigel Cole
tt0391726,nm0350845,Moacyr Góes
tt0391728,nm0437596,Jeff Kanew
tt0395169,nm0313623,Terry George
tt0395495,nm0335666,Susannah Grant
tt0396652,nm0299563,Tim Fywell
tt0396734,nm1532471,Frederick Morehouse
tt0396752,nm0428600,Kirk Jones
tt0397078,nm0677953,Donald Petrie
tt0397101,nm0812200,Iain Softley
tt0401085,nm0885249,Jean-Marc Vallée
tt0401383,nm0773603,Julian Schnabel
tt0402022,nm0476201,Karyn Kusama
tt0402910,nm0317638,Tony Giglio
tt0403237,nm0514662,Ryan Little
tt0403508,nm0477129,Ken Kwapis
tt0403702,nm0037708,Miguel Arteta
tt0404032,nm0220600,Scott Derrickson
tt0404203,nm0276062,Todd Field
tt0404254,nm1077168,Yann Samuell
tt0404978,nm0001355,Michael Hoffman
tt0405296,nm0000500,Richard Linklater
tt0405422,nm0031976,Judd Apatow
tt0407998,nm0074488,Paul Mayeda Berges
tt0408790,nm0777881,Robert Schwentke
tt0408839,nm0125803,Bobby Farrelly
tt0408839,nm0268380,Peter Farrelly
tt0408927,nm1600822,Bernard Jeanjean
tt0408985,nm0911061,Wayne Wang
tt0409011,nm0459170,Randal Kleiser
tt0409182,nm0000583,Wolfgang Petersen
tt0409184,nm0458251,Cédric Klapisch
tt0410297,nm0002159,Alejandro Agresti
tt0412028,nm0951944,Dror Zahavi
tt0412922,nm0505662,Mark Levin
tt0413099,nm0001723,Tom Shadyac
tt0413879,nm0304091,Nisha Ganatra
tt0414387,nm0942504,Joe Wright
tt0414982,nm0939128,James Wong
tt0414993,nm0004716,Darren Aronofsky
tt0415965,nm0583675,Menno Meyjes
tt0416320,nm0000095,Woody Allen
tt0416449,nm0811583,Zack Snyder
tt0417001,nm0325204,Gary David Goldberg
tt0419706,nm0005647,Andrzej Bartkowiak
tt0420223,nm0286975,Marc Forster
tt0420509,nm0081433,Fabián Bielinsky
tt0420683,nm0538614,Kelly Makin
tt0421715,nm0000399,David Fincher
tt0422272,nm0049371,Jaume Balagueró
tt0423866,nm1104118,Kim Ki-duk
tt0424136,nm1720541,David Slade
tt0424880,nm0035462,Neil Armfield
tt0425123,nm0914132,Mark Waters
tt0425326,nm0420112,John Jeffcoat
tt0425482,nm0036272,Morten Arnfred
tt0426553,nm0005628,Oliver Schmitz
tt0427229,nm0223359,Tom Dey
tt0429591,nm0020491,Elizabeth Allen Rosenbaum
tt0430105,nm0005436,John Singleton
tt0430770,nm0257606,Diane English
tt0431308,nm0481418,Richard LaGravenese
tt0432348,nm1135423,Darren Lynn Bousman
tt0433386,nm1234345,Takashi Shimizu
tt0433400,nm0474955,Roger Kumble
tt0433412,nm0004838,Martha Coolidge
tt0433562,nm0003180,David S. Cass Sr.
tt0434409,nm0574625,James McTeigue
tt0434424,nm0043214,Meiert Avis
tt0438315,nm0759207,Victor Salva
tt0440803,nm1802294,Banjong Pisanthanakun
tt0440803,nm1059740,Parkpoom Wongpoom
tt0443295,nm0331532,Raja Gosnell
tt0443465,nm0262635,Chris Evans
tt0445945,nm0056492,Douglas Barr
tt0445946,nm0000915,Bruce Beresford
tt0446744,nm0564260,Don McBrearty
tt0448011,nm0001639,Alex Proyas
tt0448157,nm0000916,Peter Berg
tt0449059,nm0206760,Jonathan Dayton
tt0449059,nm0267512,Valerie Faris
tt0449851,nm0891554,Francis Veber
tt0450188,nm0196860,Olivier Dahan
tt0450232,nm0001149,Richard Donner
tt0450259,nm0001880,Edward Zwick
tt0450278,nm0744834,Eli Roth
tt0450385,nm0405632,Mikael Håfström
tt0451094,nm0661791,Park Chan-wook
tt0452594,nm0715636,Peyton Reed
tt0452625,nm0375068,Mark Helfrich
tt0453047,nm0138759,Marcos Carnevale
tt0453467,nm0001716,Tony Scott
tt0454084,nm0005077,James Keach
tt0454841,nm0014960,Alexandre Aja
tt0454848,nm0000490,Spike Lee
tt0454921,nm0610831,Gabriele Muccino
tt0454945,nm0275698,Andy Fickman
tt0455760,nm1490123,James Wan
tt0455944,nm0298807,Antoine Fuqua
tt0455967,nm0858525,Betty Thomas
tt0457430,nm0868219,Guillermo del Toro
tt0457939,nm0583600,Nancy Meyers
tt0458352,nm0291205,David Frankel
tt0460792,nm0000500,Richard Linklater
tt0461770,nm0510674,Kevin Lima
tt0462519,nm0680846,Todd Phillips
tt0463034,nm0751577,Anthony Russo
tt0463034,nm0751648,Joe Russo
tt0465234,nm0005509,Jon Turteltaub
tt0465624,nm0718645,Ivan Reitman
tt0467406,nm0718646,Jason Reitman
tt0468492,nm0094435,Bong Joon Ho
tt0469099,nm1830797,Cathy Randall
tt0473308,nm0791248,Adrienne Shelly
tt0473488,nm1996918,Dito Montiel
tt0475944,nm0001317,Renny Harlin
tt0476964,nm0001403,Neil Jordan
tt0477080,nm0001716,Tony Scott
tt0477139,nm1058247,Goran Dukic
tt0477348,nm0001053,Ethan Coen
tt0477348,nm0001054,Joel Coen
tt0478087,nm0525659,Robert Luketic
tt0478311,nm0031976,Judd Apatow
tt0478724,nm0489309,Éric Lartigau
tt0479884,nm0004410,Mark Neveldine
tt0479884,nm0962729,Brian Taylor
tt0479952,nm0201509,Eric Darnell
tt0479952,nm0569891,Tom McGrath
tt0480242,nm0373282,Peter Hedges
tt0480669,nm1443023,Nacho Vigalondo
tt0480687,nm0125803,Bobby Farrelly
tt0480687,nm0268380,Peter Farrelly
tt0480844,nm0488688,Sheldon Larry
tt0481141,nm0382956,Scott Hicks
tt0482088,nm0759270,Pierre Salvadori
tt0482527,nm0403541,Nick Hurran
tt0482606,nm1052162,Bryan Bertino
tt0484090,nm1802294,Banjong Pisanthanakun
tt0484090,nm1059740,Parkpoom Wongpoom
tt0486551,nm0151540,Jay Chandrasekhar
tt0486655,nm0891216,Matthew Vaughn
tt0486822,nm0142286,D.J. Caruso
tt0488535,nm0591400,Cecilia Miniucchi
tt0489237,nm0075849,Shari Springer Berman
tt0489237,nm0700301,Robert Pulcini
tt0490084,nm0499724,Michael Lehmann
tt0490204,nm0082802,Mike Binder
tt0491152,nm0339004,Luke Greenfield
tt0492473,nm0955451,Yuan Zhang
tt0493464,nm0067457,Timur Bekmambetov
tt0496436,nm0527261,Patrick Lussier
tt0497025,nm0269899,Neill Fearnley
tt0497030,nm0542752,Farhad Mann
tt0497116,nm0346550,Davis Guggenheim
tt0497465,nm0000095,Woody Allen
tt0498353,nm0744834,Eli Roth
tt0498989,nm1475993,Anette Winblad
tt0499097,nm1356588,Stefano Sollima
tt0734604,nm0080867,Abner Biberman
tt0758752,nm0001880,Edward Zwick
tt0758753,nm2166962,Dominique Wirtschafter
tt0758758,nm0000576,Sean Penn
tt0758766,nm0492909,Marc Lawrence
tt0762105,nm0889522,Nia Vardalos
tt0762107,nm0240797,Dennis Dugan
tt0763831,nm0005367,Brian Robbins
tt0765120,nm0939182,Wong Kar-Wai
tt0765447,nm0005759,Lajos Koltai
tt0770703,nm0617042,Mark Mylod
tt0770752,nm0855035,Andy Tennant
tt0770806,nm0750857,Josef Rusnak
tt0780534,nm0303032,George Gallo
tt0780567,nm0456732,Karey Kirkpatrick
tt0790686,nm0014960,Alexandre Aja
tt0791304,nm0005190,Garry Marshall
tt0792965,nm0001945,Claude Berri
tt0795368,nm0000568,Frank Oz
tt0795421,nm1630273,Phyllida Lloyd
tt0799934,nm0327273,Michel Gondry
tt0800039,nm0831557,Nicholas Stoller
tt0805564,nm0318916,Craig Gillespie
tt0808279,nm0359734,Michael Haneke
tt0809504,nm0001162,Griffin Dunne
tt0814314,nm0610831,Gabriele Muccino
tt0814331,nm1451294,Ryan Shiraki
tt0814335,nm1879589,Nelson McCormick
tt0815244,nm0638271,Joe Nussbaum
tt0815245,nm0345294,Charles Guard
tt0815245,nm0345307,Thomas Guard
tt0816692,nm0634240,Christopher Nolan
tt0817177,nm0001661,Rob Reiner
tt0817230,nm0005190,Garry Marshall
tt0817538,nm0109359,Steven Brill
tt0821640,nm0914132,Mark Waters
tt0825232,nm0001661,Rob Reiner
tt0829482,nm0609549,Greg Mottola
tt0832266,nm0111845,Adam Brooks
tt0840303,nm0194274,Catherine Cyran
tt0841044,nm0000365,Julie Delpy
tt0842926,nm0158966,Lisa Cholodenko
tt0842929,nm0001814,Gus Van Sant
tt0844330,nm0792120,Adrian Shergold
tt0844708,nm1531934,Dennis Iliadis
tt0844794,nm0428448,Jon Jones
tt0848228,nm0923736,Joss Whedon
tt0852713,nm0937748,Fred Wolf
tt0861689,nm0576987,Fernando Meirelles
tt0861739,nm0655683,José Padilha
tt0865559,nm0677953,Donald Petrie
tt0866437,nm0842523,Robin Swicord
tt0866439,nm0917992,Paul Weiland
tt0877057,nm2013928,Tetsurô Araki
tt0877057,nm1562522,Norimitsu Suzuki
tt0877057,nm2408470,Kei Tsunematsu
tt0877057,nm2160454,Mitsuyuki Masuhara
tt0877057,nm2423816,Tomohiko Itô
tt0877057,nm3079478,Hiroyuki Tsuchiya
tt0877057,nm3253930,Mitsuhiro Yoneda
tt0877057,nm3047952,Eiko Nishi
tt0877057,nm2516860,Makoto Bessho
tt0877057,nm2000184,Shinji Nagamura
tt0877057,nm3529585,Oyunamu
tt0877057,nm1743321,Naoyasu Habu
tt0877057,nm4823781,Hisato Shimoda
tt0877057,nm2130447,Yukio Okazaki
tt0877057,nm8332028,Hironori Aoyagi
tt0877057,nm2913267,Naoto Hashimoto
tt0877057,nm2014132,Takayuki Hirao
tt0877057,nm1996985,Hideki Itô
tt0877057,nm1841039,Ryôsuke Nakamura
tt0877057,nm1475082,Tetsuhito Saitô
tt0877057,nm1063649,Tomio Yamauchi
tt0878804,nm0359387,John Lee Hancock
tt0879833,nm0727588,Vibeke Ringen
tt0879870,nm0614682,Ryan Murphy
tt0881891,nm1288766,Phil Traill
tt0887883,nm0001053,Ethan Coen
tt0887883,nm0001054,Joel Coen
tt0889573,nm0330347,Josh Gordon
tt0889573,nm0817447,Will Speck
tt0892318,nm0935095,Gary Winick
tt0893412,nm0333471,Angel Gracia
tt0896529,nm0618779,Ruba Nadda
tt0899106,nm0131969,Brandon Camp
tt0901476,nm0935095,Gary Winick
tt0901485,nm0001031,Claude Chabrol
tt0907657,nm0138809,John Carney
tt0914797,nm0589168,Randall Miller
tt0918927,nm0788234,John Patrick Shanley
tt0922424,nm1159380,Michel Kammoun
tt0936501,nm0603628,Pierre Morel
tt0937375,nm0926211,Preston A. Whitmore II
tt0938666,nm0881038,Ron Underwood
tt0945513,nm1512910,Duncan Jones
tt0947798,nm0004716,Darren Aronofsky
tt0951216,nm0451884,Callie Khouri
tt0952640,nm0384722,Tim Hill
tt0970468,nm0620576,Bharat Nalluri
tt0974661,nm0824882,Burr Steers
tt0976051,nm0197636,Stephen Daldry
tt0981227,nm0813164,Peter Sollett
tt0987918,nm0067457,Timur Bekmambetov
tt0988595,nm0281945,Anne Fletcher
tt0991173,nm2595969,Shalene Portman
tt0993840,nm0811583,Zack Snyder
tt0993842,nm0942504,Joe Wright
tt0995039,nm0462895,David Koepp
tt0997152,nm0771228,Paul T. Scheuring
tt0999913,nm0527109,Rod Lurie
tt10006006,nm0776271,John Schultz
tt1001508,nm0477129,Ken Kwapis
tt10016180,nm0359387,John Lee Hancock
tt10060094,nm0593618,Monika Mitchell
tt1007028,nm0003620,Kevin Smith
tt10131024,nm0142286,D.J. Caruso
tt1013743,nm0003506,James Mangold
tt1015999,nm0390822,Savage Steve Holland
tt10177634,nm0676248,Fred Olen Ray
tt10183816,nm1212040,Michael M. Scott
tt1019452,nm0001053,Ethan Coen
tt1019452,nm0001054,Joel Coen
tt1020955,nm1818121,Nacho G. Velilla
tt1022603,nm1989536,Marc Webb
tt10235718,nm0240797,Dennis Dugan
tt10242388,nm0329023,Brian Goodman
tt1024255,nm0601680,Nick Moore
tt1025100,nm0000487,Ang Lee
tt10276482,nm1475479,Jim Strouse
tt10288566,nm0899121,Thomas Vinterberg
tt10303430,nm3628233,Cooper Karl
tt10326928,nm0426785,Michelle Johnston
tt1033643,nm0891114,Tom Vaughan
tt10366206,nm0821432,Chad Stahelski
tt10366460,nm1571761,Sian Heder
tt10370710,nm1258686,Joachim Trier
tt1037705,nm0400436,Albert Hughes
tt1037705,nm0400441,Allen Hughes
tt1038919,nm0855035,Andy Tennant
tt10407272,nm0458251,Cédric Klapisch
tt1041753,nm0780643,T. Sean Shannon
tt1041829,nm0281945,Anne Fletcher
tt10451914,nm0405632,Mikael Håfström
tt1045658,nm0751102,David O. Russell
tt1046163,nm0222043,Howard Deutch
tt1046947,nm0394199,Joel Hopkins
tt1049405,nm0230286,James Dodson
tt1051906,nm1191481,Leigh Whannell
tt10530176,nm8066994,Chung-Hyun Lee
tt1055292,nm0075528,Greg Berlanti
tt1059905,nm0501185,Michael Lembeck
tt10620868,nm4252203,Il Cho
tt10638522,nm4053334,Danny Philippou
tt10638522,nm6100536,Michael Philippou
tt1064932,nm0200702,Dany Boon
tt10676012,nm0277342,Michael Fimognari
tt1067774,nm0080120,Thomas Bezucha
tt1068680,nm0715636,Peyton Reed
tt1074214,nm0332393,Howard Michael Gould
tt10752004,nm2076099,Hernán Jiménez
tt1078588,nm0001024,Nick Cassavetes
tt1078940,nm0082526,Peter Billingsley
tt1083448,nm0198755,Michael Damian
tt1083456,nm0323239,Will Gluck
tt1085492,nm2357819,Brian A. Miller
tt10855768,nm4946908,Nicholas D. Johnson
tt10855768,nm4148345,Will Merrick
tt1086772,nm0178997,Frank Coraci
tt10888708,nm2586324,Trish Sie
tt10919380,nm0484907,Christopher Landon
tt10921042,nm0646987,Ron Oliver
tt10931784,nm2762302,Nikyatu Jusu
tt1093908,nm0389591,P.J. Hogan
tt1095174,nm0255411,Jonas Elmer
tt10962368,nm0075849,Shari Springer Berman
tt10962368,nm0700301,Robert Pulcini
tt1099212,nm0362566,Catherine Hardwicke
tt11010144,nm2064675,Katleho Ramaphakela
tt11010144,nm4757208,Rethabile Ramaphakela
tt11024272,nm0629334,McG
tt1103153,nm0525659,Robert Luketic
tt1103982,nm0001752,Steven Soderbergh
tt11057594,nm0838289,Peter Sullivan
tt11080108,nm3859682,Ian Samuels
tt11083552,nm0005363,Guy Ritchie
tt11100856,nm0425756,Mark Steven Johnson
tt1111422,nm0001716,Tony Scott
tt1119646,nm0680846,Todd Phillips
tt11199410,nm0737517,Mike Rohl
tt1120985,nm0161834,Derek Cianfrance
tt1121948,nm15539512,John Wo
tt1121948,nm0000247,John Woo
tt1124215,nm0505697,Peter Levin
tt1124401,nm0001513,Tim Matheson
tt1126618,nm0585011,Roger Michell
tt1127180,nm0000600,Sam Raimi
tt11274492,nm2634746,Tyler Spindel
tt11307724,nm1482346,Pascual Sisto
tt1130884,nm0000217,Martin Scorsese
tt1132620,nm0649117,Niels Arden Oplev
tt1134629,nm0589182,Rebecca Miller
tt1135503,nm0001188,Nora Ephron
tt1137450,nm0744834,Eli Roth
tt11390036,nm1347153,Tyler Perry
tt1139668,nm0275286,David S. Goyer
tt1142433,nm0421776,Vicky Jenson
tt11426232,nm0451274,Nahnatchka Khan
tt1142988,nm0525659,Robert Luketic
tt1145157,nm1430257,Scott S. Anderson
tt1148204,nm1429471,Jaume Collet-Serra
tt11514780,nm2016267,Toby Meakins
tt1152398,nm1400426,Daniel Barnz
tt1156506,nm0150802,Benny Chan
tt11576374,nm0673297,Maggie Peren
tt11655202,nm0421314,Anders Thomas Jensen
tt11681250,nm0536632,Sharon Maguire
tt1171222,nm0847859,David E. Talbert
tt11727052,nm4633736,Kwang-bin Kim
tt1179794,nm2356614,Jac Schaeffer
tt11804152,nm5642951,S.K. Dale
tt1182350,nm0000095,Woody Allen
tt11827628,nm0132709,Martin Campbell
tt1182887,nm0004121,Mikael Salomon
tt1185416,nm0425756,Mark Steven Johnson
tt1187041,nm1668051,John Hindman
tt1193138,nm0718646,Jason Reitman
tt1194263,nm0773689,Aaron Schneider
tt11951276,nm3182755,Sara Zandieh
tt1197624,nm0336620,F. Gary Gray
tt1198138,nm0793455,Steve Shill
tt1198340,nm0649875,Joaquín Oristrell
tt12004038,nm3013234,Chloe Okuno
tt1205535,nm0294505,Bart Freundlich
tt1205537,nm0000110,Kenneth Branagh
tt12110636,nm0676248,Fred Olen Ray
tt1211956,nm0405632,Mikael Håfström
tt1216487,nm0019242,Daniel Alfredson
tt1216492,nm0875793,Anand Tucker
tt1219289,nm1139726,Neil Burger
tt1220888,nm0893473,Malcolm Venville
tt1225822,nm0431918,Mike Judge
tt12263384,nm1092087,Sam Hargrave
tt1230414,nm0583600,Nancy Meyers
tt1231287,nm0788555,Lara Shapiro
tt1231583,nm0680846,Todd Phillips
tt1231587,nm0684336,Steve Pink
tt1235841,nm1391924,Gustavo Taretto
tt1242432,nm0003458,Steven R. Monroe
tt1243957,nm0003697,Florian Henckel von Donnersmarck
tt1245526,nm0777881,Robert Schwentke
tt12528166,nm1230733,Mike Burns
tt1259521,nm1206844,Drew Goddard
tt1259528,nm0345615,Christian Gudegast
tt1259571,nm0919363,Chris Weitz
tt1261954,nm0415382,Sam Jaeger
tt1265990,nm0160157,Christian E. Christiansen
tt1268204,nm1013671,Lucy Walker
tt1268204,nm0356502,Karen Harley
tt1268204,nm1065588,João Jardim
tt1272878,nm0466349,Baltasar Kormákur
tt1276104,nm0426059,Rian Johnson
tt12763920,nm2974384,Hong Won-chan
tt12773628,nm1046566,Dustin Rikert
tt1277953,nm0201509,Eric Darnell
tt1277953,nm0569891,Tom McGrath
tt1277953,nm0970447,Conrad Vernon
tt1278027,nm0198755,Michael Damian
tt1279935,nm0506613,Shawn Levy
tt1282140,nm0323239,Will Gluck
tt12823454,nm0112459,Aline Brosh McKenna
tt1284575,nm0440458,Jake Kasdan
tt1285009,nm1266897,Johannes Roberts
tt1285309,nm0097517,Derrick Borte
tt1292566,nm0228542,Christian Ditter
tt12929990,nm1286069,Steven K. Tsuchida
tt1294688,nm1127653,Massy Tadjedin
tt1297919,nm1714255,Elliott Lester
tt12986254,nm2576729,Dylan Pearce
tt12998268,nm11855438,Kim Sung-Gi
tt13055780,nm1626854,Shaun Paul Piccinino
tt13070602,nm0005116,Mary Lambert
tt1307068,nm1032521,Lorene Scafaria
tt1308729,nm0001353,Walter Hill
tt13148548,nm0090292,Roger M. Bobb
tt1318522,nm0289186,Paul Fox
tt1319746,nm0432627,Gil Junger
tt1320253,nm0000230,Sylvester Stallone
tt1322312,nm0123379,Nanette Burstein
tt13236566,nm0939869,Martin Wood
tt1324999,nm0174374,Bill Condon
tt1325004,nm1720541,David Slade
tt13265876,nm4864836,Edward Drake
tt13276352,nm6995804,Mehdi Avaz
tt13327038,nm3066492,Jennifer Kaytin Robinson
tt1334512,nm0934864,Jason Winer
tt13352968,nm1170520,Sophie Hyde
tt1341188,nm0000985,James L. Brooks
tt1343097,nm0019242,Daniel Alfredson
tt13433802,nm3968825,Michael Sarnoski
tt1343727,nm0871428,Pete Travis
tt13456976,nm1031246,Lucky McKee
tt1345836,nm0634240,Christopher Nolan
tt1361313,nm0075849,Shari Springer Berman
tt1361313,nm0700301,Robert Pulcini
tt13655328,nm0791381,Millicent Shelton
tt1366312,nm1317262,Jim O'Hanlon
tt1366365,nm1333798,Mabrouk El Mechri
tt1371150,nm0506613,Shawn Levy
tt1374992,nm0812626,Juan Solanas
tt1375666,nm0634240,Christopher Nolan
tt1375670,nm0240797,Dennis Dugan
tt13834006,nm0200702,Dany Boon
tt13842628,nm0564260,Don McBrearty
tt13846542,nm0959108,Filip Zylber
tt1385543,nm0759207,Victor Salva
tt1385826,nm1079776,George Nolfi
tt1385867,nm0003620,Kevin Smith
tt1389139,nm0143984,Jon Cassar
tt1391034,nm1259604,Marcos Efron
tt1396484,nm0615592,Andy Muschietti
tt1397280,nm0576298,Olivier Megaton
tt13989030,nm0414910,Rick Jacobson
tt1401152,nm1429471,Jaume Collet-Serra
tt14014068,nm2892750,Analeine Cal y Mayor
tt14039028,nm0333239,Marita Grabiak
tt1403988,nm0630633,Galt Niederhoffer
tt14057604,nm0340485,Kevin Grevioux
tt1405810,nm0654858,Ferzan Özpetek
tt14060094,nm0931251,Mark Williams
tt1407061,nm1065402,Sanaa Hamri
tt1409024,nm0001756,Barry Sonnenfeld
tt1411238,nm0718645,Ivan Reitman
tt1411697,nm0680846,Todd Phillips
tt1412386,nm0006960,John Madden
tt1414382,nm0275698,Andy Fickman
tt14253846,nm0846369,Christian Tafdrup
tt1429432,nm0636506,Jonathan Nossiter
tt14298328,nm1393967,Wanuri Kahiu
tt1431045,nm1783265,Tim Miller
tt1431115,nm1212040,Michael M. Scott
tt14330236,nm1051221,Katie Aselton
tt1436559,nm0000551,Dermot Mulroney
tt1436572,nm2267617,Marc Erlbaum
tt1440129,nm0000916,Peter Berg
tt14406178,nm9075613,Jae-Hoon Choi
tt14456350,nm0049592,Marius Vaysberg
tt14463514,nm2088446,Alauda Ruiz de Azúa
tt1448755,nm1834213,Gary McKendry
tt1457767,nm1490123,James Wan
tt1462041,nm0006487,Jim Sheridan
tt1462769,nm0373282,Peter Hedges
tt1464335,nm0281508,Ruben Fleischer
tt1464560,nm3521871,Gillian Robespierre
tt1464763,nm1512910,Duncan Jones
tt1465487,nm0154312,Pascal Chaumeil
tt1465496,nm0417413,Amanda Jane
tt14674728,nm8319528,Beautie Masvaure Alt
tt14715170,nm0078943,Janeen Damian
tt14731142,nm0737517,Mike Rohl
tt14757872,nm12785791,Oh-Seung Kwon
tt1478338,nm0082450,Paul Feig
tt14817272,nm2040537,Kim Farrant
tt14826022,nm1244069,Kenya Barris
tt1483324,nm2666268,Adam Rodgers
tt1485762,nm0393394,Christophe Honoré
tt1486834,nm0236226,Michael Dowse
tt1488555,nm0229694,David Dobkin
tt14900738,nm1411972,Alex Lehmann
tt14923008,nm1060986,Luis Prieto
tt1493842,nm0432627,Gil Junger
tt14961624,nm0537199,Victoria Mahoney
tt1498574,nm0175428,Kevin Connor
tt1499658,nm1164861,Seth Gordon
tt1502420,nm0628146,Jonathan Newman
tt1504320,nm0393799,Tom Hooper
tt1506999,nm0001752,Steven Soderbergh
tt15083184,nm2035118,Babak Anvari
tt1508675,nm0442454,Aki Kaurismäki
tt15143222,nm0873266,Rose Troche
tt1519663,nm2697944,James Hacking
tt15215512,nm0568018,Stuart McDonald
tt1521848,nm0654830,François Ozon
tt1527186,nm0001885,Lars von Trier
tt1528750,nm0179576,Antony Cordier
tt15314262,nm0043742,David Ayer
tt1535110,nm1087263,Nayan Padrai
tt1535438,nm0291205,David Frankel
tt1535565,nm0367524,Gary Harvey
tt1536537,nm2482088,Tommy Wirkola
tt1541160,nm0591450,Rob Minkoff
tt1545304,nm2054480,LP
tt15463032,nm0425756,Mark Steven Johnson
tt15474916,nm6475689,Parker Finn
tt1549920,nm0453518,Kim Jee-woon
tt15521050,nm0131969,Brandon Camp
tt1555149,nm0655683,José Padilha
tt15565510,nm0066580,Jeff Beesley
tt1563738,nm0771054,Lone Scherfig
tt1564367,nm0240797,Dennis Dugan
tt15654800,nm1192470,Alessandro Aronadio
tt15671028,nm1969144,Gene Stupnitsky
tt1567385,nm1068868,Louis Choquette
tt1568346,nm0000399,David Fincher
tt1570728,nm0275629,Glenn Ficarra
tt1570728,nm0720135,John Requa
tt1571249,nm2574897,Craig Johnson
tt15721088,nm6889181,Zach Golden
tt1573483,nm1284464,Warren P. Sonoda
tt15782690,nm0520749,Robert Lorenz
tt15783426,nm6461537,John Swab
tt15799866,nm0000247,John Woo
tt15824322,nm0846590,Gabriela Tagliavini
tt1582507,nm0867127,Mark Tonderai
tt15829734,nm0295105,Lee Friedlander
tt1583420,nm0000158,Tom Hanks
tt15850662,nm0765685,Wisit Sasanatieng
tt1586265,nm0428600,Kirk Jones
tt1588398,nm3772967,Julia Leigh
tt1590193,nm1429471,Jaume Collet-Serra
tt1591095,nm1490123,James Wan
tt1596350,nm0629334,McG
tt1598778,nm0001752,Steven Soderbergh
tt1598822,nm0005190,Garry Marshall
tt1598828,nm1455688,Julie Anne Robinson
